"id","stratum","stratum_N","weight"
"W3111028250","french",233170,310.893333333333
"W6973878453","french",233170,310.893333333333
"W4393122600","french",233170,310.893333333333
"W1977597684","french",233170,310.893333333333
"W4366767280","french",233170,310.893333333333
"W2725689404","french",233170,310.893333333333
"W1534532225","french",233170,310.893333333333
"W4393025949","french",233170,310.893333333333
"W2980717987","french",233170,310.893333333333
"W4241079214","french",233170,310.893333333333
"W7030003606","french",233170,310.893333333333
"W4390822306","french",233170,310.893333333333
"W2588357115","french",233170,310.893333333333
"W6992433226","french",233170,310.893333333333
"W4285773427","french",233170,310.893333333333
"W4246674920","french",233170,310.893333333333
"W1527616640","french",233170,310.893333333333
"W6993244498","french",233170,310.893333333333
"W7125017956","french",233170,310.893333333333
"W4291820676","french",233170,310.893333333333
"W4391796755","french",233170,310.893333333333
"W4381547195","french",233170,310.893333333333
"W2412098336","french",233170,310.893333333333
"W7039361974","french",233170,310.893333333333
"W4323521523","french",233170,310.893333333333
"W2047803656","french",233170,310.893333333333
"W3160426438","french",233170,310.893333333333
"W7030444430","french",233170,310.893333333333
"W1965827101","french",233170,310.893333333333
"W1508876850","french",233170,310.893333333333
"W7029941278","french",233170,310.893333333333
"W7032999450","french",233170,310.893333333333
"W1480628156","french",233170,310.893333333333
"W2740766247","french",233170,310.893333333333
"W2158429854","french",233170,310.893333333333
"W2240174018","french",233170,310.893333333333
"W2172649187","french",233170,310.893333333333
"W12899291","french",233170,310.893333333333
"W382570549","french",233170,310.893333333333
"W953321851","french",233170,310.893333333333
"W4292253582","french",233170,310.893333333333
"W2782133747","french",233170,310.893333333333
"W7036839857","french",233170,310.893333333333
"W2300554136","french",233170,310.893333333333
"W4399875335","french",233170,310.893333333333
"W7069370103","french",233170,310.893333333333
"W2710132251","french",233170,310.893333333333
"W4285529525","french",233170,310.893333333333
"W1917592187","french",233170,310.893333333333
"W2042299869","french",233170,310.893333333333
"W2157521683","french",233170,310.893333333333
"W4324056277","french",233170,310.893333333333
"W115768755","french",233170,310.893333333333
"W2775180687","french",233170,310.893333333333
"W2078598345","french",233170,310.893333333333
"W6913016658","french",233170,310.893333333333
"W4252083758","french",233170,310.893333333333
"W4411912497","french",233170,310.893333333333
"W1504497057","french",233170,310.893333333333
"W2754260060","french",233170,310.893333333333
"W1948662515","french",233170,310.893333333333
"W3217745904","french",233170,310.893333333333
"W7014428941","french",233170,310.893333333333
"W4233101217","french",233170,310.893333333333
"W744375497","french",233170,310.893333333333
"W1976588349","french",233170,310.893333333333
"W2095883915","french",233170,310.893333333333
"W4375928662","french",233170,310.893333333333
"W2942243577","french",233170,310.893333333333
"W6963821114","french",233170,310.893333333333
"W2032912948","french",233170,310.893333333333
"W7048472019","french",233170,310.893333333333
"W2032261821","french",233170,310.893333333333
"W3111562385","french",233170,310.893333333333
"W2138760635","french",233170,310.893333333333
"W1500472808","french",233170,310.893333333333
"W2501382724","french",233170,310.893333333333
"W3162834726","french",233170,310.893333333333
"W4285718216","french",233170,310.893333333333
"W6950206008","french",233170,310.893333333333
"W4403013425","french",233170,310.893333333333
"W609961463","french",233170,310.893333333333
"W2515595583","french",233170,310.893333333333
"W2908062520","french",233170,310.893333333333
"W7071732555","french",233170,310.893333333333
"W7036037083","french",233170,310.893333333333
"W4413695483","french",233170,310.893333333333
"W2144009229","french",233170,310.893333333333
"W306352029","french",233170,310.893333333333
"W4407491047","french",233170,310.893333333333
"W2736832615","french",233170,310.893333333333
"W4308865754","french",233170,310.893333333333
"W4399191202","french",233170,310.893333333333
"W1486336166","french",233170,310.893333333333
"W4404807994","french",233170,310.893333333333
"W2233360577","french",233170,310.893333333333
"W2162960964","french",233170,310.893333333333
"W2265964962","french",233170,310.893333333333
"W7045266627","french",233170,310.893333333333
"W2626642302","french",233170,310.893333333333
"W7008701802","french",233170,310.893333333333
"W6910369314","french",233170,310.893333333333
"W7061546030","french",233170,310.893333333333
"W4407034356","french",233170,310.893333333333
"W7154918914","french",233170,310.893333333333
"W7071220145","french",233170,310.893333333333
"W3006437174","french",233170,310.893333333333
"W6981708907","french",233170,310.893333333333
"W2366849134","french",233170,310.893333333333
"W3091588303","french",233170,310.893333333333
